"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" هدف=""_blank"">رابطة</a>"
"Access denied to destination folder ""%s""","لا يمكنك الدخول الى المجلد المستهدف ""%s"""
"Could not load file: ""%s""","لا يمكن تحميل الملف: ""%s"""
"Could not save file: %s","لا يمكن حفظ الملف: %s"
"Declared adapter %s not found","اعلن محول %s لم يتم العثور عليها"
"Destination folder ""%s"" does not exist or not access to create","المجلد المستهدف ""%s"" لا يوجد او بلا صلاحيات لانشاءة"
"Destination folder ""%s"" is not a directory","المجلد المستهدف ""%s""ليس مجلدا"
"Destination folder ""%s"" is not a writeable","المجلد المستهدف ""%s"" غير قابل للكتابة"
"Done","انتهى"
"Dry run set, stopping execution","تشغيل مجموعة الجافه ، ووقف التنفيذ"
"ETA: %s","الزمن المتبقى: %s"
"Error field mapping! Fields list for mapping is not defined","خطأ في مجال رسم الخرائط! قائمة لرسم خرائط حقول غير محدد"
"Error occured during file opening: ""%s""","حدث خطأ فى فتح الملف: ""%s"""
"File ""%s"" don't exist","الملف""%s"" غير موجود"
"Found %d rows","تم العثور %d صفوف"
"Less than a minute","اقل من دقيقة"
"Loaded successfully: ""%s""","تم التحميل بنجاح: ""%s"""
"Memory Used: %s","سعة الذاكرة المستخدمة: %s"
"Method ""%s"" not defined in adapter %s","طريقه ""%s"" لم يعرف في محول %s"
"Please declare ""adapter"" and ""method"" node first","يرجى من اعلان "" محول "" و "" طريقة "" العقده الاولى"
"Processed records: %s","تجهيز سجلات: %s"
"Saved successfully: ""%s"" [%d byte(s)]","تم الحفظ بنجاح: ""%s"" [%d byte(s)]"
"Sheet 1","ورقة 1"
"Skip undefined row","تجاهل الصف الغير معرف"
"Starting %s :: %s","يبدأ فى %s :: %s"
"Total records: %s","اجمالى البيانات المسجلة: %s"
"hour","ساعة"
"hours","ساعات"
"minute","دقيقة"
"minutes","دقائق"
