"-- Please select --","-- اختر من فضلك --"
"Allowed currencies","العملات المتاحة"
"Base currency","العملة الأصلية"
"Cannot retrieve rate from %s","لايمكن استرجاع معدل من %s"
"Connection timeout in seconds","سيتم إنقطاع الاتصال خلال ثواني"
"Continue &raquo;","تابع&raquo;"
"Country","بلد"
"Country Api","Api البلد"
"Country and Format Type combination should be unique","البلد نوع وشكل الجمع بين ينبغي ان تكون فريدة من نوعها"
"Currency","العملة"
"Currency Options","خيارات العملة"""
"Currency Setup","اعدادات العملة"
"Currency Update Warnings","تحذير تحرير بيانات العملة"
"Currency will be used for all online payment transactions","سيتم استخدام العملة لجميع معاملات الدفع عبر الانترنت"
"Default display currency","العملة المعروضة اعتياديا"
"Directory","Directory"
"Enabled","مفعل"
"Error Email Recipient","خطأ فى مستقبل الرسالة"
"Error Email Sender","خطأ فى مرسل الرسالة"
"Error Email Template","خطأ فى قالب الرسالة"
"FATAL ERROR:","خطأ حيوي:"
"Frequency","التردد"
"Installed Currencies","العملات المعدة"
"Invalid Import Service Specified","الخدمة المحدد غير صالح الاستيراد"
"Invalid country code: %s","خطأ فى شفرة الدولة: %s"
"Invalid rates received","خطأ فى المعدل المستخدم"
"Invalid target currency","خطأ فى العملة المستهدفة"
"List of countries","قوائم البلدان"
"List of regions in specified country","List of regions in specified country"
"Region","Region"
"Region Api","Region Api"
"Remove space from currency sign","إحذف الفراغات من علامة العملة"
"Scheduled Import Settings","اعدادات الاستيراد المجدول"
"Select Your Currency","أختر عملتك"
"Service","الخدمة"
"Start Time","زمن البداية"
"State/Province","الولاية - المحافظة"
"Strikeiron Email Update Warnings","Strikeiron Email Update Warnings"
"Unable to initialize import model","تعذر تهيئة نموذج الاستيراد"
"Undefined rate from ""%s-%s""","غير معرف من معدل ""%s-%s"""
"WARNING:","تحذير:"
"Webservicex","Webservicex"
"Your current currency is: %s","عملتك الحالية هى: %s"
