"* Required Fields","* الحقول المطلوبة"
"Add","إضافة"
"Add Gift Message","إضافة بطاقة هدية"
"Allow Gift Messages for Order Items","السماح للرسائل هدية من اجل بنود"
"Allow Gift Messages on Order Level","رسائل تسمح هدية على مستوى النظام"
"Are you sure?","هل أنت متأكد؟"
"Cancel","إلغاء"
"Check this checkbox if you want to add gift messages to your items.","اختر هذا الخيار إذا كنت تريد إضافة بطاقة هدية إلى المنتجات."
"Check this checkbox if you want to add gift messages.","التحقق من مربع الاختيار هذا اذا كنت تريد ان تضيف رسائل هدية."
"Close","إغلاق"
"Do you have any gift items in your order?","هل لديك أي سلع هدايا في طلب الشراء؟"
"Edit","تحرير"
"Edit Gift Message","تحرير رسالة هدية"
"Enter a gift message for each item in your order.","قم بإدخال رسالة هدية لكل سلعة في طلب الشراء."
"Enter a gift message for entire order.","قم بإدخال رسالة هدية لطلب الشراء ككل."
"Enter a gift message for this address.","قم بإدخال رسالة هدية لهذا العنوان."
"Error while saving gift message","خطأ أثناء حفظ رسالة الهدية"
"From","من"
"Gift Message","رسالة هدية"
"Gift Messages","رسائل هدايا"
"Gift message has been successfully saved","تم حفظ رسالة الهدية بنجاح"
"Item %d of %d","عنصر %d of %d"
"Message","رسالة"
"No","لا"
"Remove","إزالة"
"Save","حفظ"
"Save Gift Message","حفظ رسالة هدية"
"To","إلى"
"Unknown entity type","غير معروف نوع الكيان"
"Use config","استخدام الاعدادات"
"Yes","نعم"
"You can leave a box blank if you don't wish to add a gift message for the item.","يمكنك ان تترك فارغه المربع اذا كنت لا ترغب في ان تضيف الرسالة هدية لهذا البند."
"You can leave a box blank if you don't wish to add a gift message for this address.","يمكنك ان تترك فارغه المربع اذا كنت لا أود ان أضيف هدية رسالة لهذا العنوان."
"You can leave a box blank if you don't wish to add a gift message for whole order.","يمكنك ان تترك فارغه المربع اذا كنت لا أود ان أضيف هدية لكله من اجل الرسالة."
"Your gift message has been successfully removed","تم إزالة رسالة الهدية بنجاح"
"Your gift message has been successfully saved","تم حفظ رسالة الهدية بنجاح"
"Your gift message successfully removed","تم إزالة رسالة الهدية بنجاح"
"Your gift message successfully saved","تم حفظ رسالة الهدية بنجاح"
