"Email templates","قوالب البريد"
"Some emails was not sent","لم يتم ارسال بعض الرسائل"
"You cannot email this product to a friend","لا يمكنك ارسال هذا المنتج لصديق"
"You cannot send more than %d times in an hour","لا يمكنك ارسال اكثر من %d مره فى الساعة"
"Message:","نص الرسالة:"
"Enabled","متاح"
"Max Products Sent in 1 Hour","اقصى عدد للمنتجات يمكن ارسالة بالساعة"
"Max Recipients","اقصى عدد للمستقبلين"
"Sender:","المرسل:"
"Recipient:","المستقبل:"
"Name","الاسم"
"Name:","الاسم:"
"Email Address","البريد الالكترونى"
"Email:","البريد الالكترونى:"
"Email Address:","البريد الالكترونى:"
"Maximum %d email addresses allowed.","الحد الاقصى %d السماح لعنوان البريد الالكتروني."
"Allow for Guests","السماح للزوار"
"Remove Email","احذف الايميل"
"Select email template","اختر قالبا للرسالة"
"Send product to a friend","ارسل منتجا لصديق"
"Send email","ارسل الرسالة"
"Email to a Friend","ارسال الى صديق"
"Add Recipient","اضف صديقا"
"Some problems with data.","بعض المشاكل بالبيانات."
"Link to a friend was sent.","تم ارسال الرابط الى صديقك"
"Limit Sending By","حدد الارسال بـ"
