" was not delivered nor scanned"," لم يتم ادائه ولا الممسوحه ضوئيا"
"1 Day Freight","1 يوم شحن"
"2 Day Freight","2 يوم شحن"
"2Day","2 يوم"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Freight","3 يوم شحن"
"3 Day Select","3 Day Select"
"Access ID","معرف النفاذ"
"Access license number","رقم ترخيص النفاذ"
"Account ID","معرف الحساب"
"Account number","رقم الحساب"
"Additional Protection Configuration Value","Additional Protection Configuration Value"
"Additional Protection Enabled","Additional Protection Enabled"
"Additional Protection Min Subtotal","Additional Protection Min Subtotal"
"Additional Protection Value","Additional Protection Value"
"Additional Protection Value Rounding Method","Additional Protection Value Rounding Method"
"All Services","كل الخدمات"
"Allowed methods","الطرق المسموح بها"
"Bound Printed Matter","ملزمة مطبوعة"
"Business Service Center","مركز الخدمة التجاري"
"Calculate Handling Fee","حساب أجر المعاملة"
"Canada Standard","Canada Standard"
"Cannot retrieve shipping rates","لا يمكن استرجاع معدلات الشحن"
"Commercial","Commercial"
"Configuration","Configuration"
"Container","حاوية"
"Customer Packaging","Customer Packaging"
"DHL","DHL"
"Default Package Height","Default Package Height"
"Default Package Length","Default Package Length"
"Default Package Width","Default Package Width"
"Delivered","تم التسليم"
"Destination type","نوع المكان المقصود"
"Displayed Error Message","رسالة الخطأ المعروضة"
"Domestic Shipment Days","Domestic Shipment Days"
"Drop Box","صندوق الحذف"
"Dropoff","من الحذف"
"Empty response","رد فارغ"
"Enable Negotiated Rates","Enable Negotiated Rates"
"Enabled","مفعل"
"Error #%s : %s (%s)","خطأ #%s : %s (%s)"
"Error #%s: %s","خطأ #%s: %s"
"Europe First Priority","اوروبا الاولوية الاولى"
"Express","سريع"
"Express 10:30 AM","سريع 10:30 AM"
"Express Mail","البريد السريع"
"Express Saturday","اعرب عن السبت"
"Express Saver","اعرب عن الموفر"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10kg Box"
"FedEx 25kg Box","FedEx 25kg Box"
"FedEx Box","FedEx صندوق"
"FedEx Envelope","FedEx ظرف"
"FedEx Pak","FedEx Pak"
"FedEx Tube","FedEx الانبوب"
"First Overnight","الليلى الاولى"
"First-Class","الدرجة الاولى"
"Flat","مسطحة"
"Flat-Rate Box","Flat-Rate Box"
"Flat-Rate Envelope","Flat-Rate Envelope"
"Free method","الطريقة المجانية"
"Free shipping with minimum order amount","الشحن المجاني مع الحد الأدني لكمية طلب الشراء"
"Gateway URL","رابط البوابة"
"Gateway XML URL","بوابة XML الموقع"
"Ground","سطح الأرض"
"Ground Commercial","Ground Commercial"
"Ground Residential","Ground Residential"
"Handling Applied","تم تطبيق المعاملة"
"Handling fee","أجر المعاملة"
"Home Delivery","التسليم بالمنزل"
"International Economy","الاقتصاد الدولي"
"International Express","اعراب دولي"
"International First","اول عالمي"
"International Priority","اولوية دولية"
"International Shipment Days","International Shipment Days"
"Intl Economy Freight","Intl الاقتصاد الشحن"
"Intl Priority Freight","Intl اولوية الشحن"
"Invalid DHL XML code for type %s: %s","العجز DHL XML نوع الرمز %s: %s"
"Invalid DHL XML code type: %s","العجز DHL XML نوع الرمز: %s"
"Invalid FedEx XML code for type %s: %s","العجز FedEx XML نوع الرمز %s: %s"
"Invalid FedEx XML code type: %s","العجز FedEx XML نوع الرمز: %s"
"Invalid UPS CGI code for type %s: %s","العجز UPS CGI نوع الرمز %s: %s"
"Invalid UPS CGI code type: %s","العجز UPS CGI نوع الرمز: %s"
"Invalid USPS XML code for type %s: %s","العجز USPS XML نوع الرمز %s: %s"
"Invalid USPS XML code type: %s","العجز USPS XML نوع الرمز: %s"
"Kilograms","Kilograms"
"Large","كبير"
"Letter","رسالة"
"Library","مكتبة"
"Machinable","مفهوم من قبل الإله"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","الحد الاقصى لوزن الطرد (الشحن الخاص بك ، يرجى الرجوع إلى الناقل عن الحد الأقصى للوزن الشحن)"
"Media Mail","وسائل الاعلام البريد الالكتروني"
"Minimum order amount for free shipping","الحد الأدنى للكمية المطلوبة للحصول على شحن مجاني"
"Next Afternoon","بعد الظهر القادم"
"Next Day Air","Next Day Air"
"Next Day Air Early AM","Next Day Air Early AM"
"Next Day Air Early AM Letter","Next Day Air Early AM Letter"
"Next Day Air Intra (Puerto Rico)","Next Day Air Intra (Puerto Rico)"
"Next Day Air Letter","Next Day Air Letter"
"Next Day Air Saver","Next Day Air Saver"
"Next Day Air Saver Letter","Next Day Air Saver Letter"
"No","لا"
"Non-rectangular","غير مستطيل"
"Order","طلب الشراء"
"Origin of the shipment","مصدر الشحنة"
"Oversize","فوق الحجم"
"Package","الحزمة"
"Package Description","وصف الحزمة"
"Packaging","التغليف"
"Parcel","طرد"
"Parcel Post","الطرود البريديه"
"Password","كلمة المرور"
"Pickup method","طريقة الالتقاط"
"Please enter the package weight","من فضلك أدخل وزن الحزمة"
"Please make sure to use only digits here. No dashes are allowed.","Please make sure to use only digits here. No dashes are allowed."
"Pounds","Pounds"
"Priority Mail","البريد الالكتروني الاولي"
"Priority Overnight","اولوية الليل"
"Receiver","المستلم"
"Rectangular","مستطيل"
"Regular","عادي"
"Regular Pickup","التقاط عادي"
"Request Courier","طلب الساعي"
"Residential","Residential"
"Residential Delivery","Residential Delivery"
"Response is in the wrong format","كان رد الفعل في شكل خاطئ"
"Round","Round"
"Second Day Service","خدمة اليوم الثاني"
"Sender","المرسل"
"Ship to Specific countries","الشحن إلى دول محددة"
"Ship to applicable countries","الشحنة ينطبق على البلدان"
"Shipment Contains Hazardous Materials","Shipment Contains Hazardous Materials"
"Shipment Dutiable","الشحنة خاضعة للرسوم"
"Shipment Duty Payment Type","نوع دفع رسوم الشحنة"
"Shipment is not available.","الشحنة غير متاحة."
"Shipment picked up","تم استلام الشحنة"
"Shipment type","نوع الشحنة"
"Shipper Number","Shipper Number"
"Shipping key","مفتاح الشحنة"
"Shipping key (International)","مفتاح الشحنة (دولي)"
"Show method if not applicable","عرض الطريقة إذا كانت غير قابلة للتطبيق"
"Size","الحجم"
"Sort order","ترتيب"
"Standard Overnight","الموحدة بين عشية وضحاها"
"Station","محطة"
"Subtotal","Subtotal"
"Subtotal With Discount","Subtotal With Discount"
"There is no available method for selected shipping address.","لا يوجد طريقة لعنوان الشحن المختار."
"Third Party","طرف ثالث"
"Title","العنوان"
"To lower","To lower"
"To upper","To upper"
"Tracking XML URL","متابعة XML الموقع"
"UPS","UPS"
"UPS Expedited","UPS Expedited"
"UPS Express","UPS Express"
"UPS Express Box","UPS Express Box"
"UPS Express Early A.M.","UPS Express Early A.M."
"UPS Express Plus","UPS Express Plus"
"UPS Ground","UPS Ground"
"UPS Letter Envelope","UPS Letter Envelope"
"UPS Next Day Air","UPS Next Day Air"
"UPS Next Day Air Early A.M.","UPS Next Day Air Early A.M."
"UPS Next Day Air Saver","UPS Next Day Air Saver"
"UPS Saver","UPS Saver"
"UPS Second Day Air","UPS Second Day Air"
"UPS Second Day Air A.M.","UPS Second Day Air A.M."
"UPS Standard","UPS Standard"
"UPS Three-Day Select","UPS Three-Day Select"
"UPS Today Dedicated Courrier","UPS Today Dedicated Courrier"
"UPS Today Express","UPS Today Express"
"UPS Today Express Saver","UPS Today Express Saver"
"UPS Today Intercity","UPS Today Intercity"
"UPS Today Standard","UPS Today Standard"
"UPS Tube","UPS Tube"
"UPS Worldwide 10 kilo","UPS Worldwide 10 kilo"
"UPS Worldwide 25 kilo","UPS Worldwide 25 kilo"
"UPS Worldwide Expedited","UPS Worldwide Expedited"
"UPS Worldwide Express","UPS Worldwide Express"
"UPS Worldwide Express Plus","UPS Worldwide Express Plus"
"UPS Worldwide Express PlusSM","UPS Worldwide Express PlusSM"
"UPS type","UPS نوع"
"USPS","USPS"
"Unable to retrieve tracking","لا يمكن استرجاع التتبع"
"United Parcel Service","خدمة الطرود المتحدة"
"United Parcel Service XML","خدمة الطرود المتحدة XML"
"Unknown error","خطأ غير معروف"
"Used only when 'Additional Protection Value' is set to 'Configuration'. Can contain only numeric amount.","Used only when 'Additional Protection Value' is set to 'Configuration'. Can contain only numeric amount."
"User ID","معرف المستخدم"
"UserId","معرف المستخدم"
"Variable","متغير"
"Weight Unit","وحدة الوزن"
"Worldwide Expedited","Worldwide Expedited"
"Worldwide Express","Worldwide Express"
"Worldwide Express Letter","Worldwide Express Letter"
"Worldwide Express Plus","Worldwide Express Plus"
"Worldwide Express Plus Letter","Worldwide Express Plus Letter"
"Worldwide Express Saver","Worldwide Express Saver"
"Yes","نعم"
"Your Packaging","Your Packaging"
